// Re = 0.15
(-180.000000	0.000000	0.012449)
(-178.571429	0.065706	0.013253)
(-177.142857	0.131413	0.015663)
(-175.714286	0.197119	0.019674)
(-174.285714	0.262826	0.025275)
(-172.857143	0.328532	0.032452)
(-171.428571	0.394238	0.041187)
(-170.000000	0.459945	0.051459)
(-168.571429	0.525651	0.063242)
(-167.142857	0.591358	0.076507)
(-165.714286	0.657064	0.091220)
(-164.285714	0.722770	0.107344)
(-162.857143	0.788477	0.124840)
(-161.428571	0.854183	0.143664)
(-160.000000	0.919890	0.163769)
(-155.000000	0.820877	0.243470)
(-150.000000	0.758569	0.335781)
(-145.000000	0.711860	0.437884)
(-140.000000	0.669948	0.546665)
(-135.000000	0.626840	0.658803)
(-130.000000	0.579163	0.770873)
(-125.000000	0.525162	0.879453)
(-120.000000	0.464195	0.981224)
(-115.000000	0.396442	1.073073)
(-110.000000	0.322721	1.152187)
(-105.000000	0.244353	1.216138)
(-100.000000	0.163060	1.262962)
(-95.000000	0.080863	1.291210)
(-90.000000	0.000000	1.300000)
(-85.000000	-0.080863	1.291210)
(-80.000000	-0.163060	1.262962)
(-75.000000	-0.244353	1.216138)
(-70.000000	-0.322721	1.152187)
(-65.000000	-0.396442	1.073073)
(-60.000000	-0.464195	0.981224)
(-55.000000	-0.525162	0.879453)
(-50.000000	-0.579163	0.770873)
(-45.000000	-0.626840	0.658803)
(-40.000000	-0.669948	0.546665)
(-35.000000	-0.711860	0.437884)
(-30.000000	-0.758569	0.335781)
(-25.000000	-0.820877	0.243470)
(-20.000000	-0.919890	0.163769)
(-18.928571	-0.871423	0.153391)
(-17.857143	-0.822956	0.143014)
(-16.785714	-0.774489	0.132636)
(-15.714286	-0.726022	0.122258)
(-14.642857	-0.677555	0.111881)
(-13.571429	-0.629088	0.101503)
(-12.500000	-0.580621	0.091126)
(-11.428571	-0.532154	0.080748)
(-10.357143	-0.483687	0.070370)
(-9.285714	-0.435220	0.059993)
(-8.214286	-0.386753	0.049615)
(-7.142857	-0.338286	0.039237)
(-5.000000	-0.241352	0.018482)
(-4.750000	-0.214373	0.018717)
(-4.500000	-0.187663	0.019034)
(-4.250000	-0.161576	0.019290)
(-4.000000	-0.135312	0.019566)
(-3.750000	-0.108601	0.019812)
(-3.500000	-0.081444	0.019944)
(-3.250000	-0.055358	0.020067)
(-3.000000	-0.028915	0.020118)
(-2.750000	-0.001580	0.020098)
(-2.500000	0.025131	0.020200)
(-2.250000	0.051306	0.020251)
(-2.000000	0.078285	0.020221)
(-1.750000	0.106423	0.020108)
(-1.500000	0.132242	0.020210)
(-1.250000	0.158952	0.020231)
(-1.000000	0.187626	0.020108)
(-0.750000	0.213980	0.020149)
(-0.500000	0.240066	0.020231)
(-0.250000	0.268919	0.020139)
(0.000000	0.295362	0.020190)
(0.250000	0.321358	0.020292)
(0.500000	0.349943	0.020241)
(0.750000	0.376208	0.020343)
(1.000000	0.402918	0.020415)
(1.250000	0.430611	0.020425)
(1.500000	0.456429	0.020568)
(1.750000	0.484478	0.020599)
(2.000000	0.511100	0.020681)
(2.250000	0.536204	0.020855)
(2.500000	0.564878	0.020845)
(2.750000	0.591054	0.020978)
(3.000000	0.616783	0.021162)
(3.250000	0.644743	0.021131)
(3.500000	0.669847	0.021295)
(3.750000	0.694506	0.021489)
(4.000000	0.721752	0.021530)
(4.250000	0.748998	0.021561)
(4.500000	0.773210	0.021755)
(4.750000	0.798404	0.021868)
(5.000000	0.827256	0.021755)
(5.250000	0.852272	0.021816)
(5.500000	0.876305	0.021888)
(5.750000	0.900785	0.021857)
(6.000000	0.925533	0.021776)
(6.250000	0.950191	0.021653)
(6.500000	0.974850	0.021520)
(6.750000	0.999330	0.021325)
(7.000000	1.023274	0.020998)
(7.250000	1.045434	0.020701)
(7.500000	1.065631	0.020384)
(7.750000	1.087255	0.020026)
(8.000000	1.104864	0.019812)
(8.250000	1.126399	0.019535)
(8.500000	1.157839	0.019382)
(8.750000	1.183747	0.019464)
(9.000000	1.208405	0.019617)
(9.250000	1.228781	0.019944)
(9.500000	1.245051	0.020395)
(9.750000	1.255254	0.021111)
(10.000000	1.261619	0.022164)
(10.250000	1.263523	0.023658)
(10.500000	1.261679	0.025622)
(10.750000	1.257604	0.027985)
(11.000000	1.252191	0.030696)
(11.250000	1.246689	0.033621)
(11.500000	1.241900	0.036649)
(11.750000	1.239075	0.039636)
(12.000000	1.237855	0.042551)
(12.250000	1.239135	0.045313)
(12.500000	1.242288	0.047942)
(12.750000	1.247404	0.050408)
(13.000000	1.254216	0.052730)
(13.250000	1.262991	0.054847)
(13.500000	1.273372	0.056832)
(13.750000	1.285359	0.058632)
(14.000000	1.297614	0.060453)
(14.250000	1.310404	0.062274)
(14.500000	1.324622	0.063931)
(14.750000	1.341071	0.065332)
(15.000000	1.358413	0.066682)
(15.250000	1.370757	0.068718)
(15.500000	1.390329	0.069915)
(15.750000	1.401870	0.072104)
(16.000000	1.418765	0.073710)
(16.250000	1.428878	0.076134)
(16.500000	1.446398	0.077751)
(16.750000	1.447856	0.081259)
(17.000000	1.469659	0.082354)
(17.250000	1.467636	0.086343)
(17.500000	1.463829	0.090629)
(17.750000	1.469124	0.093739)
(18.000000	1.484324	0.095683)
(18.250000	1.470612	0.101411)
(18.500000	1.457614	0.107293)
(18.750000	1.444169	0.113512)
(19.000000	1.428673	0.120335)
(19.250000	1.408179	0.128386)
(19.500000	1.379833	0.138574)
(19.750000	1.345954	0.150819)
(20.000000	1.314128	0.163769)
(25.000000	1.172681	0.243470)
(30.000000	1.083670	0.335781)
(35.000000	1.016943	0.437884)
(40.000000	0.957068	0.546665)
(45.000000	0.895486	0.658803)
(50.000000	0.827375	0.770873)
(55.000000	0.750231	0.879453)
(60.000000	0.663136	0.981224)
(65.000000	0.566346	1.073073)
(70.000000	0.461029	1.152187)
(75.000000	0.349076	1.216138)
(80.000000	0.232943	1.262962)
(85.000000	0.115519	1.291210)
(90.000000	0.000000	1.300000)
(95.000000	-0.080863	1.291210)
(100.000000	-0.163060	1.262962)
(105.000000	-0.244353	1.216138)
(110.000000	-0.322721	1.152187)
(115.000000	-0.396442	1.073073)
(120.000000	-0.464195	0.981224)
(125.000000	-0.525162	0.879453)
(130.000000	-0.579163	0.770873)
(135.000000	-0.626840	0.658803)
(140.000000	-0.669948	0.546665)
(145.000000	-0.711860	0.437884)
(150.000000	-0.758569	0.335781)
(155.000000	-0.820877	0.243470)
(160.000000	-0.919890	0.163769)
(161.428571	-0.854183	0.143664)
(162.857143	-0.788477	0.124840)
(164.285714	-0.722770	0.107344)
(165.714286	-0.657064	0.091220)
(167.142857	-0.591358	0.076507)
(168.571429	-0.525651	0.063242)
(170.000000	-0.459945	0.051459)
(171.428571	-0.394238	0.041187)
(172.857143	-0.328532	0.032452)
(174.285714	-0.262826	0.025275)
(175.714286	-0.197119	0.019674)
(177.142857	-0.131413	0.015663)
(178.571429	-0.065706	0.013253)
(180.000000	0.000000	0.012449)
