// Re = 0.05
(-180.000000	0.000000	0.049306)
(-177.892857	0.065924	0.051030)
(-175.785714	0.131847	0.056193)
(-173.678571	0.197771	0.064767)
(-171.571429	0.263695	0.076703)
(-169.464286	0.329619	0.091938)
(-167.357143	0.395542	0.110388)
(-165.250000	0.461466	0.131950)
(-163.142857	0.527390	0.156507)
(-161.035714	0.593313	0.183924)
(-158.928571	0.659237	0.214051)
(-156.821429	0.725161	0.246721)
(-154.714286	0.791084	0.281757)
(-152.607143	0.857008	0.318964)
(-150.500000	0.922932	0.358139)
(-146.178571	0.850362	0.443716)
(-141.857143	0.788966	0.534676)
(-137.535714	0.732459	0.628915)
(-133.214286	0.676979	0.724252)
(-128.892857	0.620162	0.818477)
(-124.571429	0.560646	0.909403)
(-120.250000	0.497789	0.994914)
(-115.928571	0.431491	1.073015)
(-111.607143	0.362077	1.141875)
(-107.285714	0.290215	1.199873)
(-102.964286	0.216840	1.245632)
(-98.642857	0.143110	1.278052)
(-94.321429	0.070348	1.296334)
(-90.000000	0.000000	1.300000)
(-85.678571	-0.070348	1.296334)
(-81.357143	-0.143110	1.278052)
(-77.035714	-0.216840	1.245632)
(-72.714286	-0.290215	1.199873)
(-68.392857	-0.362077	1.141875)
(-64.071429	-0.431491	1.073015)
(-59.750000	-0.497789	0.994914)
(-55.428571	-0.560646	0.909403)
(-51.107143	-0.620162	0.818477)
(-46.785714	-0.676979	0.724252)
(-42.464286	-0.732459	0.628915)
(-38.142857	-0.788966	0.534676)
(-33.821429	-0.850362	0.443716)
(-29.500000	-0.922932	0.358139)
(-27.750000	-0.902382	0.335637)
(-26.000000	-0.881832	0.313135)
(-24.250000	-0.861282	0.290633)
(-22.500000	-0.840732	0.268131)
(-20.750000	-0.820182	0.245629)
(-19.000000	-0.799632	0.223127)
(-17.250000	-0.779082	0.200626)
(-15.500000	-0.758532	0.178124)
(-13.750000	-0.737982	0.155622)
(-12.000000	-0.717432	0.133120)
(-10.250000	-0.696882	0.110618)
(-8.500000	-0.676332	0.088116)
(-5.000000	-0.635232	0.043112)
(-4.750000	-0.610705	0.045911)
(-4.500000	-0.586666	0.048179)
(-4.250000	-0.563523	0.049893)
(-4.000000	-0.537287	0.051770)
(-3.750000	-0.515934	0.052551)
(-3.500000	-0.493197	0.053202)
(-3.250000	-0.473959	0.053300)
(-3.000000	-0.451140	0.053528)
(-2.750000	-0.438737	0.053180)
(-2.500000	-0.423405	0.052855)
(-2.250000	-0.406445	0.052627)
(-2.000000	-0.393066	0.052247)
(-1.750000	-0.384649	0.051672)
(-1.500000	-0.366144	0.051510)
(-1.250000	-0.358867	0.050978)
(-1.000000	-0.349637	0.050544)
(-0.750000	-0.337966	0.050273)
(-0.500000	-0.336547	0.049676)
(-0.250000	-0.428539	0.044197)
(0.000000	-0.412474	0.043980)
(0.250000	-0.395433	0.043861)
(0.500000	-0.378555	0.043774)
(0.750000	-0.360618	0.043785)
(1.000000	-0.341624	0.043893)
(1.250000	-0.321329	0.044121)
(1.500000	-0.298348	0.044544)
(1.750000	-0.271380	0.045260)
(2.000000	-0.239367	0.046323)
(2.250000	-0.203123	0.047734)
(2.500000	-0.148490	0.050783)
(2.750000	-0.095159	0.053658)
(3.000000	-0.045083	0.056468)
(3.250000	-0.024462	0.057542)
(3.500000	-0.011245	0.057987)
(3.750000	0.004657	0.058757)
(4.000000	0.027069	0.060124)
(4.250000	0.048992	0.061448)
(4.500000	0.073356	0.063140)
(4.750000	0.104962	0.065668)
(5.000000	0.127699	0.067339)
(5.250000	0.152470	0.069433)
(5.500000	0.183181	0.072156)
(5.750000	0.204127	0.074055)
(6.000000	0.228003	0.076442)
(6.250000	0.256110	0.079241)
(6.750000	0.296132	0.083787)
(7.000000	0.322938	0.086803)
(7.250000	0.342013	0.089168)
