// Re = 0.05
(-180.000000	0.000000	0.001000)
(-177.892857	0.059980	0.001000)
(-175.785714	0.119959	0.001452)
(-173.678571	0.179938	0.010211)
(-171.571429	0.239918	0.022407)
(-169.464286	0.299898	0.037975)
(-167.357143	0.359877	0.056829)
(-165.250000	0.419856	0.078870)
(-163.142857	0.479836	0.103977)
(-161.035714	0.539816	0.132014)
(-158.928571	0.599795	0.162832)
(-156.821429	0.659774	0.196263)
(-154.714286	0.719754	0.232127)
(-152.607143	0.779733	0.270230)
(-150.500000	0.839713	0.310366)
(-146.178571	0.783283	0.398116)
(-141.857143	0.734789	0.491507)
(-137.535714	0.688854	0.588423)
(-133.214286	0.642178	0.686667)
(-128.892857	0.592763	0.784014)
(-124.571429	0.539493	0.878257)
(-120.250000	0.481895	0.967263)
(-115.928571	0.419990	1.049015)
(-111.607143	0.354188	1.121663)
(-107.285714	0.285213	1.183564)
(-102.964286	0.214047	1.233318)
(-98.642857	0.141875	1.269804)
(-94.321429	0.070040	1.292198)
(-90.000000	0.000000	1.300000)
(-85.678571	-0.070040	1.292198)
(-81.357143	-0.141875	1.269804)
(-77.035714	-0.214047	1.233318)
(-72.714286	-0.285213	1.183564)
(-68.392857	-0.354188	1.121663)
(-64.071429	-0.419990	1.049015)
(-59.750000	-0.481895	0.967263)
(-55.428571	-0.539493	0.878257)
(-51.107143	-0.592763	0.784014)
(-46.785714	-0.642178	0.686667)
(-42.464286	-0.688854	0.588423)
(-38.142857	-0.734789	0.491507)
(-33.821429	-0.783283	0.398116)
(-29.500000	-0.839713	0.310366)
(-27.750000	-0.825124	0.291286)
(-26.000000	-0.810536	0.272206)
(-24.250000	-0.795947	0.253126)
(-22.500000	-0.781358	0.234045)
(-20.750000	-0.766770	0.214965)
(-19.000000	-0.752181	0.195885)
(-17.250000	-0.737592	0.176805)
(-15.500000	-0.723004	0.157725)
(-13.750000	-0.708415	0.138645)
(-12.000000	-0.693827	0.119565)
(-10.250000	-0.679238	0.100484)
(-8.500000	-0.664649	0.081404)
(-5.000000	-0.635472	0.043244)
(-4.750000	-0.608411	0.045618)
(-4.500000	-0.581998	0.047540)
(-4.250000	-0.556772	0.048994)
(-4.000000	-0.527443	0.050585)
(-3.750000	-0.504594	0.051248)
(-3.500000	-0.479909	0.051800)
(-3.250000	-0.459867	0.051883)
(-3.000000	-0.435074	0.052076)
(-2.750000	-0.424105	0.051781)
(-2.500000	-0.409247	0.051505)
(-2.250000	-0.392230	0.051312)
(-2.000000	-0.379965	0.050990)
(-1.750000	-0.374288	0.050503)
(-1.500000	-0.355218	0.050365)
(-1.250000	-0.351053	0.049914)
(-1.000000	-0.344296	0.049546)
(-0.750000	-0.334298	0.049316)
(-0.500000	-0.337909	0.048810)
(-0.250000	-0.465503	0.044164)
(0.000000	-0.449674	0.043980)
(0.250000	-0.432549	0.043879)
(0.500000	-0.415640	0.043805)
(0.750000	-0.397326	0.043814)
(1.000000	-0.377609	0.043906)
(1.250000	-0.356164	0.044100)
(1.500000	-0.331154	0.044458)
(1.750000	-0.300853	0.045066)
(2.000000	-0.263856	0.045967)
(2.250000	-0.221243	0.047163)
(2.500000	-0.154222	0.049748)
