// Re = 0.14
(-180.000000	0.000000	0.173476)
(-177.857143	0.084323	0.175173)
(-175.714286	0.168645	0.180251)
(-173.571429	0.252968	0.188683)
(-171.428571	0.337290	0.200417)
(-169.285714	0.421612	0.215384)
(-167.142857	0.505935	0.233497)
(-165.000000	0.590257	0.254649)
(-162.857143	0.674580	0.278714)
(-160.714286	0.758903	0.305551)
(-158.571429	0.843225	0.335001)
(-156.428571	0.927547	0.366890)
(-154.285714	1.011870	0.401028)
(-152.142857	1.096192	0.437215)
(-150.000000	1.180515	0.475235)
(-145.714286	1.058950	0.555861)
(-141.428571	0.957624	0.640991)
(-137.142857	0.867959	0.728593)
(-132.857143	0.784628	0.816569)
(-128.571429	0.704291	0.902799)
(-124.285714	0.624919	0.985194)
(-120.000000	0.545398	1.061738)
(-115.714286	0.465288	1.130537)
(-111.428571	0.384658	1.189862)
(-107.142857	0.303981	1.238188)
(-102.857143	0.224047	1.274232)
(-98.571429	0.145892	1.296978)
(-94.285714	0.070751	1.305704)
(-90.000000	0.000000	1.300000)
(-85.714286	-0.070751	1.305704)
(-81.428571	-0.145892	1.296978)
(-77.142857	-0.224047	1.274232)
(-72.857143	-0.303981	1.238188)
(-68.571429	-0.384658	1.189862)
(-64.285714	-0.465288	1.130537)
(-60.000000	-0.545398	1.061738)
(-55.714286	-0.624919	0.985194)
(-51.428571	-0.704291	0.902799)
(-47.142857	-0.784628	0.816569)
(-42.857143	-0.867959	0.728593)
(-38.571429	-0.957624	0.640991)
(-34.285714	-1.058950	0.555861)
(-30.000000	-1.180515	0.475235)
(-28.214286	-1.113432	0.442662)
(-26.428571	-1.046349	0.410089)
(-24.642857	-0.979266	0.377515)
(-22.857143	-0.912183	0.344942)
(-21.071429	-0.845100	0.312369)
(-19.285714	-0.778017	0.279796)
(-17.500000	-0.710934	0.247223)
(-15.714286	-0.643851	0.214649)
(-13.928571	-0.576768	0.182076)
(-12.142857	-0.509685	0.149503)
(-10.357143	-0.442602	0.116930)
(-8.571429	-0.375519	0.084356)
(-5.000000	-0.241353	0.019210)
(-4.750000	-0.215062	0.019617)
(-4.500000	-0.188236	0.020012)
(-4.250000	-0.162212	0.020495)
(-4.000000	-0.136456	0.020890)
(-3.750000	-0.110567	0.021132)
(-3.500000	-0.084142	0.021246)
(-3.250000	-0.057583	0.021450)
(-3.000000	-0.031894	0.021654)
(-2.750000	-0.005938	0.021743)
(-2.500000	0.021089	0.021666)
(-2.250000	0.047246	0.021641)
(-2.000000	0.073270	0.021615)
(-1.750000	0.099494	0.021717)
(-1.500000	0.126588	0.021628)
(-1.250000	0.152477	0.021641)
(-1.000000	0.179170	0.021577)
(-0.750000	0.206197	0.021577)
(-0.500000	0.231819	0.021666)
(-0.250000	0.258444	0.021654)
(0.000000	0.286073	0.021590)
(0.250000	0.311227	0.021768)
(0.500000	0.337719	0.021819)
(0.750000	0.366083	0.021705)
(1.000000	0.390568	0.021972)
(1.250000	0.416859	0.022074)
(1.500000	0.444689	0.022035)
(1.750000	0.470177	0.022265)
(2.000000	0.496134	0.022379)
(2.250000	0.522960	0.022443)
(2.500000	0.547779	0.022723)
(2.750000	0.575074	0.022761)
(3.000000	0.601967	0.022850)
(3.250000	0.625984	0.023168)
(3.500000	0.652074	0.023270)
(3.750000	0.679101	0.023270)
(4.000000	0.703051	0.023588)
(4.250000	0.728205	0.023779)
(4.500000	0.757104	0.023550)
(4.750000	0.780653	0.023843)
(5.000000	0.804670	0.024047)
(5.250000	0.829757	0.024123)
(5.500000	0.858924	0.023728)
(5.750000	0.883543	0.023716)
(6.000000	0.908430	0.023614)
(6.250000	0.933048	0.023436)
(6.500000	0.956998	0.023219)
(6.750000	0.981617	0.022939)
(7.000000	1.006437	0.022481)
(7.250000	1.028113	0.022188)
(7.500000	1.050926	0.021615)
(7.750000	1.075478	0.020903)
(8.000000	1.098558	0.020495)
(8.250000	1.130468	0.020139)
(8.500000	1.159167	0.020012)
(8.750000	1.185324	0.020050)
(9.000000	1.210612	0.020139)
(9.250000	1.231953	0.020508)
(9.500000	1.250887	0.020992)
(9.750000	1.265138	0.021768)
(10.000000	1.276715	0.022952)
(10.250000	1.285080	0.024670)
(10.500000	1.290570	0.026987)
(10.750000	1.293852	0.029876)
(11.000000	1.296131	0.033224)
(11.250000	1.298009	0.036890)
(11.500000	1.300689	0.040683)
(11.750000	1.304640	0.044450)
(12.000000	1.310130	0.048091)
(12.250000	1.317492	0.051527)
(12.500000	1.326661	0.054748)
(12.750000	1.337300	0.057752)
(13.000000	1.349545	0.060514)
(13.250000	1.362994	0.063136)
(13.500000	1.377647	0.065542)
(13.750000	1.393437	0.067782)
(14.000000	1.410364	0.069844)
(14.250000	1.428696	0.071677)
(14.500000	1.448365	0.073306)
(14.750000	1.464423	0.075737)
(15.000000	1.483356	0.077685)
(15.250000	1.506771	0.078843)
(15.500000	1.519953	0.081974)
(15.750000	1.541160	0.083705)
