time,azimuth,fx1,fy1,fz1,mx1,my1,mz1,fx2,fy2,fz2,mx2,my2,mz2,fx3,fy3,fz3,mx3,my3,mz3,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Fx3,Fy3,Fz3,Mx3,My3,Mz3,Gauge1,Gauge2,Gauge3,Gauge4,Gauge5,Gauge6,Gauge7,
0.05500,16.97653,62.51522,18.08974,-5.52249,-16.16595,58.86840,8.37631,60.71872,-10.88526,-10.15901,10.62079,41.30149,19.23775,63.23293,-4.17328,18.04274,14.27138,87.25955,-28.62350,62.51522,15.68901,-10.56368,-16.16595,58.74889,-9.17709,60.71872,1.02646,14.85399,10.62079,-17.06857,-42.24415,63.23293,-16.63819,-8.13187,14.27138,8.22328,91.46536,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.06000,18.51985,62.50499,17.92797,-6.00552,-15.67296,58.18894,9.11083,60.12485,-10.91320,-9.64844,10.46368,41.33311,18.47538,62.96850,-3.67959,18.11788,13.67053,87.09492,-28.62544,62.50499,15.09200,-11.38904,-15.67296,58.06945,-9.84373,60.12485,1.78526,14.45694,10.46368,-18.72879,-41.21891,62.96850,-17.02307,-7.21195,13.67053,10.71839,91.04975,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.06500,20.06317,62.49516,17.75369,-6.48399,-15.16278,57.51319,9.83857,59.43242,-10.89548,-9.12194,10.28093,41.29905,17.68385,62.73556,-3.18555,18.18336,13.05366,86.95562,-28.62085,62.49516,14.45194,-12.18102,-15.16278,57.39819,-10.48872,59.43242,2.49837,13.98854,10.28093,-20.31414,-40.07076,62.73556,-17.36088,-6.27553,13.05366,13.18623,90.59004,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.07000,21.60649,62.48444,17.56608,-6.95721,-14.63571,56.84044,10.55882,58.69587,-10.84750,-8.59562,10.08768,41.23440,16.88274,62.54138,-2.69209,18.24508,12.42593,86.85352,-28.61479,62.48444,13.76995,-12.93671,-14.63571,56.73460,-11.11345,58.69587,3.16349,13.47388,10.08768,-21.83286,-38.84107,62.54138,-17.65668,-5.32650,12.42593,15.63020,90.10015,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.07500,23.14981,62.47267,17.36523,-7.42475,-14.09287,56.17105,11.27098,57.96682,-10.78809,-8.08527,9.90122,41.17521,16.08736,62.38246,-2.19852,18.30097,11.78659,86.78513,-28.60695,62.47267,13.04804,-13.65381,-14.09287,56.07919,-11.71946,57.96682,3.78376,12.93977,9.90122,-23.30067,-37.56700,62.38246,-17.90810,-4.36565,11.78659,18.05155,89.57766,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.08000,24.69313,62.46556,17.15282,-7.88692,-13.53669,55.51076,11.97545,57.19130,-10.70993,-7.58498,9.71453,41.08778,15.27827,62.27840,-1.70658,18.37239,11.14669,86.77635,-28.60491,62.46556,12.28951,-14.33146,-13.53669,55.43760,-12.30968,57.19130,4.35625,12.37973,9.71453,-24.70028,-36.21502,62.27840,-18.13580,-3.39852,11.14669,20.45636,89.05006,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.08500,26.23645,62.45739,16.92740,-8.34269,-12.96702,54.85475,12.67085,56.40407,-10.61920,-7.09916,9.53257,40.99172,14.47042,62.18159,-1.21153,18.41765,10.48490,86.76528,-28.59110,62.45739,11.49538,-14.96641,-12.96702,54.80495,-12.88453,56.40407,4.88267,11.80360,9.53257,-26.03581,-34.81166,62.18159,-18.29841,-2.41784,10.48490,22.83425,88.45486,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.09000,27.77977,62.44741,16.68878,-8.79147,-12.38485,54.20289,13.35645,55.71987,-10.54450,-6.64543,9.37977,40.96441,13.69915,62.11837,-0.71571,18.46064,9.81343,86.78596,-28.57498,62.44741,10.66785,-15.55642,-12.38485,54.18087,-13.44552,55.71987,5.37753,11.24413,9.37977,-27.35205,-33.43075,62.11837,-18.41906,-1.43035,9.81343,25.19139,87.82783,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.09500,29.32309,62.43733,16.43807,-9.23333,-11.79212,53.55715,14.03209,55.09687,-10.48041,-6.21710,9.25027,40.98047,12.94826,62.10912,-0.21884,18.52257,9.13971,86.86482,-28.56372,62.43733,9.81002,-16.10056,-11.79212,53.56697,-13.99457,55.09687,5.84182,10.69413,9.25027,-28.63942,-32.04434,62.10912,-18.51870,-0.43765,9.13971,27.53551,87.19621,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
0.10000,30.86641,62.42678,16.17529,-9.66784,-11.18990,52.91766,14.69722,54.51072,-10.41956,-5.80746,9.13658,41.02281,12.21071,62.04580,0.28021,18.52883,8.43053,86.85735,-28.51423,62.42678,8.92435,-16.59709,-11.18990,52.96295,-14.53319,54.51072,6.27401,10.14548,9.13658,-29.88814,-30.63774,62.04580,-18.52247,0.56036,8.43053,29.82436,86.41625,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,
