time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor,c_ref_t,c_ref_n,f_ref_t,f_ref_n
0.00625,0.300149981252,5,-5.49257042754,1.2205749112,1.43304463098,87302.7664551,23.9999963812,23.9999963812,0.413729604492,0.234469963523,0.779692024389,0.0598749811788,-0.00201675480215,0.63523665579,0.0364323335304,0.474152965298,0.00239978915801,0.0312323432264
0.0135416666667,0.300149981252,5,-5.48391382825,1.22011298253,1.43262125534,87276.9739128,23.9575101101,23.9999963812,0.516896526596,0.23404170191,0.919621740058,0.154014562799,-0.0112556046494,0.794301433725,0.0939658726534,0.559578370039,0.00618585302673,0.0368375183059
0.02265625,0.300149981252,5,-5.4731295421,1.21905813953,1.43222887416,87253.0695894,23.8913160457,23.9999963812,0.516354053485,0.233374465741,0.91794481347,0.152549699992,-0.0187122939139,0.794502270821,0.0935716366753,0.558864472497,0.00615652632553,0.0367703714457
0.036328125,0.300149981252,5,-5.45708264345,1.21648692918,1.43175045186,87223.9235392,23.8140808261,23.9999963812,0.515678981705,0.232595934727,0.915907632158,0.149883917565,-0.0297136716531,0.794672371472,0.0930904886535,0.557996274133,0.00612077806762,0.0366887251956
0.05,0.300149981252,5,-5.44126845738,1.21274185273,1.43099823957,87178.0978806,23.6968777008,23.9999963812,0.514659998179,0.231435776144,0.912808982317,0.145966304864,-0.0402968487199,0.795174755383,0.0923504628068,0.556694551998,0.00606574208556,0.0365646848995
0.0666666666667,0.300149981252,5,-5.42242928887,1.20661866996,1.43040067874,87141.6937712,23.5974490667,23.9999963812,0.513709653169,0.230473306966,0.910136683807,0.140589708293,-0.0527815015578,0.795711142413,0.0916615695571,0.555530115879,0.00601546729106,0.0364577353128
0.0833333333333,0.300149981252,5,-5.40421504918,1.1988309161,1.42973624636,87101.2157681,23.4840292949,23.9999963812,0.512663349558,0.229382430684,0.907172226899,0.134035809302,-0.064570508718,0.796361288848,0.0908959480734,0.554236354014,0.00595968140652,0.0363390466115
0.1,0.300149981252,5,-5.38677247675,1.18944133123,1.42908900717,87061.7851947,23.3788747368,23.9999963812,0.511868141659,0.228410802568,0.904662323458,0.126689075289,-0.0757210167668,0.797105116579,0.0902538258271,0.553204063704,0.00591222349147,0.0362385309546
0.116666666667,0.300149981252,5,-5.37024209323,1.17852556016,1.42842492179,87021.3283312,23.2826194162,23.9999963812,0.511145092882,0.227521403406,0.902280395824,0.118509214913,-0.0861361681027,0.797796834026,0.0896722981458,0.552262776159,0.00586867152929,0.036143256035
0.133333333333,0.300149981252,5,-5.35475707148,1.16617154304,1.42792926979,86991.1326276,23.2094301903,23.9999963812,0.510845061107,0.226837020997,0.90082122534,0.109867478707,-0.0960301268445,0.798431781429,0.0893757557557,0.551751470171,0.00584520549651,0.036084737957
0.15,0.300149981252,5,-5.34044216268,1.15247880689,1.42746999106,86963.1528265,23.1416279258,23.9999963812,0.510634666594,0.226196967619,0.899556554382,0.100488519941,-0.105153832486,0.798915707679,0.0891442679509,0.551331234721,0.0058263163554,0.0360340632543
0.166666666667,0.300149981252,5,-5.32741269126,1.13755766377,1.42721672717,86947.7236921,23.0827490072,23.9999963812,0.510469935252,0.225641150628,0.898666125987,0.0904292631136,-0.113457460121,0.799364890878,0.0889539475605,0.550981559461,0.00581181451049,0.0359984318865
0.183333333333,0.300149981252,5,-5.31577362587,1.12152832211,1.42698855359,86933.8230893,23.0248111291,23.9999963812,0.510274639541,0.225094217059,0.897773490517,0.0796825888324,-0.120791879349,0.799755641694,0.0887494010736,0.550609805689,0.00579659656219,0.0359626416421
0.2,0.300149981252,5,-5.30561873369,1.10451991824,1.42678288091,86921.2932673,22.9648149138,23.9999963812,0.510442394242,0.224513778752,0.897376677563,0.0685119949683,-0.127415410989,0.800140768507,0.0887512598169,0.550528008887,0.00579504711634,0.0359469348035
0.216666666667,0.300149981252,5,-5.29702982505,1.08666947607,1.42672240491,86917.608998,22.9106018009,23.9999963812,0.51087082464,0.223980321721,0.897550250727,0.056908385452,-0.133273044618,0.800540227692,0.0889108588791,0.550682343244,0.00580497606371,0.0359539640212
0.233333333333,0.300149981252,5,-5.29007609432,1.06812080317,1.42691695582,86929.4612688,22.8623825074,23.9999963812,0.511256009801,0.223505843873,0.898023804912,0.0448136457352,-0.138099598103,0.800901752018,0.0890548663557,0.550823747292,0.00581596411952,0.0359730049747
0.25,0.300149981252,5,-5.28481356247,1.04902333224,1.42701411694,86935.3804385,22.7985979827,23.9999963812,0.511665986959,0.22287820415,0.898309896496,0.0323038375999,-0.141796720329,0.801223760791,0.0891912619099,0.550928030595,0.00582566506992,0.0359847154884
0.266666666667,0.300149981252,5,-5.28128462576,1.02953091723,1.42714144121,86943.1371829,22.7307429038,23.9999963812,0.512149832852,0.222221294147,0.898726523793,0.0194980597291,-0.144408837607,0.801650372577,0.0893528969666,0.551086032001,0.00583726402502,0.0360014591412
0.283333333333,0.300149981252,5,-5.27951771418,1.00980059385,1.42718944066,86946.0613657,22.650914027,23.9999963812,0.512670813871,0.22148048217,0.899053190862,0.006481272213,-0.145808073976,0.802105033474,0.0894897735111,0.551249986679,0.00584659918421,0.0360145924609
0.3,0.300149981252,5,-5.2795270624,0.989991314456,1.42704433522,86937.2213715,22.5565138675,23.9999963812,0.513286158868,0.220604448691,0.899186310111,-0.00662943658219,-0.146034297061,0.802641013164,0.089650873117,0.551445123849,0.00585593328718,0.0360200156956
