time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
1.075,331.813941961,4,0.402502134595,0.538576295111,0.100625533649,177.222141119,33.4633568173,177.443053461,33.5885170796,177.273387493,33.4297652386
1.1,339.530545263,4,0.403265680042,0.538957448463,0.10081642001,177.067798852,33.399330678,178.103485758,33.8965671431,177.157129839,33.3763547088
1.125,347.247148564,4,0.402718665951,0.538728592629,0.100679666488,176.95532255,33.3475041068,177.89828293,33.7658762212,177.25496428,33.4223142367
1.15,354.963751866,4,0.402066935722,0.538395582248,0.10051673393,176.844346412,33.3147308006,177.631316169,33.6073106208,177.308566841,33.4509535795
1.175,362.680355167,4,0.401487483904,0.538034590421,0.100371870976,176.645238259,33.2726262922,177.240964379,33.4316613396,177.545326648,33.5240515688
1.2,370.396958468,4,0.400755049792,0.537492203501,0.100188762448,176.434796024,33.2421504056,176.902373949,33.2697529244,177.560143678,33.5335891877
1.225,378.11356177,4,0.399883362201,0.536842476784,0.0999708405501,176.306682382,33.2466045676,176.607023003,33.1355360235,177.341837771,33.445741657
1.25,385.830165071,4,0.397600489014,0.535345525894,0.0994001222534,176.153435323,33.2314214264,176.337767282,33.0263145325,176.276104561,33.0002441197
1.275,393.546768373,4,0.394921617024,0.533671037077,0.0987304042561,175.82102666,33.1508968159,176.185818875,32.9581699256,175.094198997,32.4801530365
1.3,401.263371674,4,0.393422236614,0.532656051944,0.0983555591535,175.480188548,33.0289062151,176.02937709,32.9126257646,174.583014253,32.2733787243
1.325,408.979974976,4,0.392998544665,0.532304620947,0.0982496361662,175.037954051,32.8453365715,175.824991853,32.8566947584,174.883141796,32.4071078566
1.35,416.696578277,4,0.392615675489,0.532062636427,0.0981539188723,174.681400385,32.6745331318,175.689452586,32.8204358103,175.13759755,32.5185898262
1.375,424.413181578,4,0.39221479367,0.53180679141,0.0980536984175,174.441323334,32.5211066442,175.523844012,32.7766170615,175.291423673,32.6157579231
1.4,432.12978488,4,0.392333877845,0.531878354739,0.0980834694613,174.320419599,32.4276323272,175.470687015,32.7747936859,175.54031729,32.7407840869
1.425,439.846388181,4,0.392373641535,0.531942092587,0.0980934103838,174.314997711,32.3928300537,175.468106901,32.7774623379,175.615247891,32.7828444153
1.45,447.562991483,4,0.393787666854,0.532916408156,0.0984469167136,175.104379837,32.6909076388,175.489059749,32.7799472189,175.781071515,32.835282765
1.475,455.279594784,4,0.394744336704,0.533508597024,0.098686084176,175.764766334,32.9661759254,175.401372408,32.7563468307,175.802999514,32.8224403196
1.5,462.996198086,4,0.395322044887,0.533946891722,0.0988305112218,176.077158031,33.0628252923,175.602152231,32.8256135229,175.730576079,32.8007447756
1.525,470.712801387,4,0.394625348501,0.533556467557,0.0986563371253,175.941396319,32.9746039181,175.55044735,32.7920359905,175.531125513,32.7486186545
1.55,478.429404688,4,0.39431128522,0.533434542578,0.0985778213051,175.818471435,32.8775385601,175.720369841,32.8368708664,175.36515726,32.7224455941
1.575,486.14600799,4,0.39331134465,0.532767955767,0.0983278361624,175.469466332,32.7144352578,175.663043924,32.7963112411,175.108621734,32.6764808577
1.6,493.862611291,4,0.392842681717,0.532452821199,0.0982106704294,175.452653978,32.6854603757,175.53270215,32.7253721926,174.943741969,32.6593966024
1.625,501.579214593,4,0.391576762374,0.531594445764,0.0978941905935,175.139268759,32.5581696575,175.193237705,32.5747135234,174.742050814,32.62131872
1.65,509.295817894,4,0.390630679337,0.531032725093,0.0976576698343,175.187132897,32.5666594998,174.712142872,32.3445457333,174.616688438,32.6068141334
1.675,517.012421195,4,0.389489781327,0.53025585772,0.0973724453317,175.114712112,32.5485671532,174.340691863,32.1736849531,174.286875204,32.5109506286
1.7,524.729024497,4,0.389532766971,0.530204798249,0.0973831917428,175.044558005,32.5499254432,174.324469022,32.1713324017,174.324076761,32.5226759336
1.725,532.445627798,4,0.388867856332,0.529782304871,0.0972169640831,174.893024683,32.513506963,174.393448326,32.1924380206,173.986418743,32.3719988408
1.75,540.1622311,4,0.388926818084,0.529856789075,0.0972317045209,174.810103944,32.5012863279,174.5035847,32.2447325781,174.035029761,32.3466442774
1.775,547.878834401,4,0.388786694551,0.529764447995,0.0971966736379,174.728119207,32.4970982749,174.534434986,32.2605934683,173.995532292,32.2999906513
1.8,555.595437703,4,0.389133735887,0.53000982228,0.0972834339719,174.679682024,32.4947232317,174.832514712,32.3648197368,173.992204213,32.2847756927
1.825,563.312041004,4,0.388760563494,0.529835694592,0.0971901408736,174.585372358,32.4645880958,174.702577279,32.3038999752,174.043976833,32.2826709011
1.85,571.028644305,4,0.389192046092,0.530170911669,0.0972980115229,174.543387309,32.4508614468,174.80070139,32.3241857873,174.324013757,32.3838281324
1.875,578.745247607,4,0.389217522205,0.530212871866,0.0973043805512,174.432454798,32.4038513669,174.705310951,32.3005330397,174.573800208,32.4608508803
1.9,586.461850908,4,0.389177018474,0.530235737626,0.0972942546185,174.528746779,32.4233755272,174.584505586,32.2916732052,174.622665218,32.4400751019
1.925,594.17845421,4,0.388593155236,0.529907999042,0.0971482888091,174.423393086,32.3501977713,174.367838423,32.2618266242,174.618903635,32.3973423607
1.95,601.895057511,4,0.388258980438,0.52969545362,0.0970647451096,174.495352868,32.3397042701,174.142401776,32.2379574871,174.561551636,32.348280767
1.975,609.611660813,4,0.387904814932,0.529416146047,0.096976203733,174.476886203,32.3123462374,173.969040514,32.2309986377,174.475880181,32.2941828867
2,617.328264114,4,0.387792445056,0.529292966581,0.0969481112639,174.430393873,32.2790194464,173.849562603,32.2294957228,174.520511796,32.3009602957
2.025,625.044867415,4,0.387252570107,0.52887516335,0.0968131425268,174.240237692,32.1919345322,173.709702991,32.2164878035,174.435437341,32.2662773973
2.05,632.761470717,4,0.386869827715,0.528600879604,0.0967174569287,174.028086117,32.0807878978,173.587518907,32.2138237679,174.498053472,32.2845392996
2.075,640.478074018,4,0.386520441271,0.528350595917,0.0966301103177,173.90197175,31.9988762256,173.479688643,32.1893527104,174.484332763,32.3037003239
2.1,648.19467732,4,0.386305158296,0.528229944454,0.0965762895741,173.929631094,31.9712378967,173.429940951,32.1652554634,174.38811972,32.3016921199
2.125,655.911280621,4,0.386067058907,0.528103973659,0.0965167647268,173.96762743,31.9604184388,173.382028474,32.1281951386,174.274152442,32.2901321758
2.15,663.627883923,4,0.385963221884,0.528061255606,0.0964908054709,174.016601754,31.9790206156,173.406825932,32.1010171976,174.159578929,32.2727858059
2.175,671.344487224,4,0.38599294742,0.528135926602,0.096498236855,174.113413479,32.0020629602,173.451680082,32.0953657156,174.09428525,32.2628157005
2.2,679.061090525,4,0.385854143292,0.528102296378,0.0964635358231,174.117685658,31.9967666553,173.504705741,32.0940320915,174.005292586,32.23479422
2.225,686.777693827,4,0.385797489422,0.528119956193,0.0964493723555,174.070381441,31.9803367984,173.662029657,32.1319948154,173.914969532,32.1991181392
2.25,694.494297128,4,0.385669627346,0.528058311057,0.0964174068365,174.022237214,31.9666501232,173.791509054,32.1596069537,173.774380625,32.1532728679
2.275,702.21090043,4,0.38568736785,0.528086721791,0.0964218419624,173.909424975,31.9676405509,173.914048237,32.1667817477,173.795468362,32.1495364298
2.3,709.927503731,4,0.385186214639,0.52775741102,0.0962965536596,173.741838504,31.9629656102,173.87224765,32.1079753125,173.678565311,32.0879086652
2.325,717.644107033,4,0.385028036419,0.527656026367,0.0962570091048,173.56061143,31.9658979602,173.865894649,32.061589162,173.767455405,32.0918744596
2.35,725.360710334,4,0.384660300154,0.527335718909,0.0961650750384,173.30074795,31.9445402382,173.768886361,32.005516668,173.806940748,32.0775020749
2.375,733.077313635,4,0.384810984341,0.527357808257,0.0962027460852,173.156327762,31.950276184,173.926005104,32.0477532136,173.818664252,32.0671467607
2.4,740.793916937,4,0.384228586846,0.526924833223,0.0960571467116,172.959571746,31.9231103125,173.814240329,31.9936836864,173.697108059,32.0029909929
2.425,748.510520238,4,0.384018419772,0.526802677002,0.0960046049431,172.886699244,31.9314609373,173.891151409,32.0222056772,173.573231245,31.9136517435
2.45,756.22712354,4,0.383533744349,0.52645122808,0.0958834360871,172.706288931,31.8932810225,173.859766597,32.0285867376,173.436071143,31.8244550134
2.475,763.943726841,4,0.383691815726,0.526531997433,0.0959229539315,172.817431923,31.9437734138,173.837430404,32.0560045575,173.429587013,31.7860061361
2.5,771.660330143,4,0.383127522557,0.52623689175,0.0957818806392,172.631887346,31.8610477459,173.686202487,32.0331605766,173.473152292,31.7507042274
2.525,779.376933444,4,0.383253429007,0.526437363761,0.0958133572518,172.783175597,31.8887566695,173.624686125,32.0388263377,173.584689325,31.7487611438
2.55,787.093536745,4,0.382947017564,0.526287663361,0.095736754391,172.815756277,31.875932099,173.507326893,32.0212047807,173.521076087,31.7027139526
2.575,794.810140047,4,0.383168583234,0.526465525609,0.0957921458085,172.877236796,31.8759146894,173.441509806,32.0080102651,173.704248301,31.7712380854
2.6,802.526743348,4,0.382628453808,0.526172140398,0.0956571134521,172.88883239,31.8533326959,173.304372613,31.9570208112,173.538317934,31.7099702728
2.625,810.24334665,4,0.382648122018,0.526237460847,0.0956620305044,173.048851576,31.8851519252,173.212069837,31.9166163214,173.537571208,31.7234655542
2.65,817.959949951,4,0.382382404809,0.526085700788,0.0955956012023,173.179411228,31.9017716271,173.037821905,31.8406063939,173.431778039,31.7165214716
2.675,825.676553252,4,0.382382226251,0.526108679507,0.0955955565627,173.203974365,31.8625627843,173.152633284,31.8671112306,173.317689593,31.7291809018
2.7,833.393156554,4,0.381697478692,0.525667421519,0.0954243696731,173.17364827,31.8026597526,172.975059881,31.7727382831,173.087682722,31.7125147887
2.725,841.109759855,4,0.381640629019,0.525582229532,0.0954101572548,173.175391132,31.7696965454,173.118027266,31.7965651604,172.86085308,31.7074590241
2.75,848.826363157,4,0.381397252015,0.525327313031,0.0953493130038,173.168534073,31.736857338,173.113737438,31.7805131193,172.62061883,31.6955930289
2.775,856.542966458,4,0.381401456958,0.525244238934,0.0953503642394,173.2923701,31.7731358353,173.110530133,31.7651277596,172.420309296,31.6757496237
2.8,864.25956976,4,0.380898427101,0.524888053392,0.0952246067754,173.217532782,31.7364398008,173.006395417,31.6974121491,172.246988031,31.6545836377
2.825,871.976173061,4,0.380701633592,0.524779159514,0.0951754083979,173.307569024,31.7712261606,172.950422546,31.6292297278,172.107645842,31.6388516755
2.85,879.692776362,4,0.380513134427,0.524669888316,0.0951282836067,173.271403214,31.7893643487,172.94924674,31.5860178445,172.039327391,31.6168679679
2.875,887.409379664,4,0.380565722722,0.524738095241,0.0951414306804,173.194948325,31.8001113326,173.014253582,31.5682114861,172.122239022,31.6370556159
2.9,895.125982965,4,0.380234474206,0.524597584315,0.0950586185516,173.052680018,31.7811971022,173.055395122,31.5359509309,172.086245316,31.605536694
2.925,902.842586267,4,0.380048653833,0.524552025845,0.0950121634582,172.922843827,31.7634471254,173.034151116,31.4992692448,172.194818509,31.6135796943
2.95,910.559189568,4,0.379907728014,0.524536454628,0.0949769320035,172.842351195,31.7520943076,173.066977302,31.4775326203,172.229731018,31.6114880629
2.975,918.27579287,4,0.379764747418,0.5244982766,0.0949411868546,172.722834487,31.7132404245,173.102008425,31.4832507409,172.278725054,31.608929792
3,925.992396171,4,0.379527143862,0.52437511352,0.0948817859656,172.607035256,31.6617681574,173.025745072,31.4729964866,172.350485077,31.6113403676
3.025,933.708999472,4,0.379331814618,0.524264810016,0.0948329536545,172.452757012,31.604658487,172.97055438,31.4715780742,172.452468951,31.6211059695
3.05,941.425602774,4,0.37921291077,0.524239216186,0.0948032276926,172.427901555,31.575789346,172.868976094,31.4811758464,172.555998434,31.6106938846
3.075,949.142206075,4,0.378769539346,0.523987786823,0.0946923848366,172.374643294,31.5294894217,172.715235504,31.48577878,172.514541386,31.5417065245
3.1,956.858809377,4,0.378472936179,0.523800780104,0.0946182340448,172.389887014,31.5076452329,172.482840104,31.4758288552,172.547558334,31.4994558821
3.125,964.575412678,4,0.37835084209,0.523656091213,0.0945877105225,172.500396463,31.5159390864,172.216128826,31.4567101433,172.561909039,31.4798008668
3.15,972.29201598,4,0.378405204414,0.523621411629,0.0946013011035,172.529223698,31.5132537532,172.027268949,31.4452626878,172.689932101,31.5075048019
3.175,980.008619281,4,0.378063223682,0.523343948893,0.0945158059204,172.493624355,31.4851203324,171.81693913,31.4100637298,172.66142952,31.4854642557
3.2,987.725222582,4,0.377835469266,0.523198595107,0.0944588673165,172.430917488,31.4265248238,171.713540514,31.399717894,172.684978847,31.4975484184
3.225,995.441825884,4,0.377526005083,0.522982535609,0.0943815012707,172.37088431,31.3659457366,171.526480357,31.3561015537,172.718883152,31.5244884336
3.25,1003.15842919,4,0.37761880243,0.523079036888,0.0944047006076,172.416191932,31.3365035113,171.603914487,31.3840489854,172.694983796,31.549149389
3.275,1010.87503249,4,0.377195321524,0.522888011466,0.0942988303811,172.43669735,31.2926298905,171.529751242,31.3375633498,172.560301575,31.5337898133
3.3,1018.59163579,4,0.377082412028,0.522891876021,0.094270603007,172.478115919,31.2627959918,171.611122721,31.3486823645,172.443689451,31.5243176885
3.325,1026.30823909,4,0.376757613428,0.522710009771,0.0941894033569,172.383454442,31.2021260694,171.650447621,31.341834183,172.319715102,31.5107522577
3.35,1034.02484239,4,0.376912907052,0.522846097404,0.0942282267631,172.527731822,31.2515956451,171.725521949,31.3522659408,172.238538007,31.4896188129
3.375,1041.74144569,4,0.376374608236,0.522526522012,0.094093652059,172.363432693,31.1958538269,171.744841839,31.3392498516,172.066738422,31.423994458
3.4,1049.45804899,4,0.376346212719,0.522521401368,0.0940865531796,172.329681303,31.2022848986,171.868426153,31.3662614482,171.974163652,31.3834630619
3.425,1057.1746523,4,0.376080772425,0.522369798134,0.0940201931063,172.25038538,31.2028087744,171.980266628,31.3760192104,171.792685898,31.3069162454
3.45,1064.8912556,4,0.376146971856,0.522425276432,0.0940367429639,172.17425495,31.2237798198,172.016503111,31.3412545383,171.890456462,31.3372360633
3.475,1072.6078589,4,0.37541824721,0.521996003041,0.0938545618025,171.978939835,31.2073232094,171.973733855,31.2789291729,171.702410356,31.2340973969
3.5,1080.3244622,4,0.375342832363,0.521944272283,0.0938357080907,171.757977693,31.1979420833,172.031601629,31.2611543807,171.816331399,31.2424265642
3.525,1088.0410655,4,0.375215331479,0.521813123784,0.0938038328697,171.562463864,31.1926240193,172.030631337,31.2312530006,171.884346978,31.2458163688
3.55,1095.7576688,4,0.375388059914,0.521882123043,0.0938470149784,171.408380801,31.172477799,172.203063255,31.2886336563,171.937345535,31.2517022917
3.575,1103.4742721,4,0.374851901872,0.521539930676,0.0937129754679,171.251324357,31.1422034473,172.09299316,31.2335332519,171.865160834,31.2032292138
3.6,1111.19087541,4,0.37468782394,0.52145211453,0.093671955985,171.16134761,31.1397412856,172.194252273,31.2708532666,171.768431084,31.1274105357
3.625,1118.90747871,4,0.374440030289,0.521285667137,0.0936100075722,171.034752873,31.1034607104,172.164577915,31.2896810478,171.760598541,31.0830035032
3.65,1126.62408201,4,0.374483992294,0.521330023265,0.0936209980735,171.085359837,31.126043494,172.107208305,31.3062409696,171.813580072,31.0548355826
3.675,1134.34068531,4,0.374020708609,0.521078528407,0.0935051771523,170.996906358,31.0795534567,171.961274567,31.2874103201,171.798622715,31.0045009721
3.7,1142.05728861,4,0.373954377911,0.521066584251,0.0934885944778,171.098193769,31.0929857546,171.832072289,31.276777855,171.816258739,30.9851421781
3.725,1149.77389191,4,0.373866496857,0.521007258677,0.0934666242143,171.138307912,31.1007216029,171.756072247,31.2732107883,171.794481212,30.9590345505
