// Re = 0.07
(-180.000000	0.000000	0.163104)
(-177.857143	0.063596	0.164807)
(-175.714286	0.127191	0.169908)
(-173.571429	0.190787	0.178375)
(-171.428571	0.254383	0.190160)
(-169.285714	0.317979	0.205192)
(-167.142857	0.381574	0.223385)
(-165.000000	0.445170	0.244630)
(-162.857143	0.508766	0.268802)
(-160.714286	0.572362	0.295760)
(-158.571429	0.635957	0.325345)
(-156.428571	0.699553	0.357382)
(-154.285714	0.763149	0.391683)
(-152.142857	0.826745	0.428045)
(-150.000000	0.890340	0.466252)
(-145.714286	0.824514	0.547291)
(-141.428571	0.767968	0.632881)
(-137.142857	0.715126	0.720989)
(-132.857143	0.662540	0.809513)
(-128.571429	0.608104	0.896332)
(-124.285714	0.550622	0.979351)
(-120.000000	0.489554	1.056552)
(-115.714286	0.424867	1.126036)
(-111.428571	0.356920	1.186072)
(-107.142857	0.286393	1.235131)
(-102.857143	0.214221	1.271924)
(-98.571429	0.141546	1.295432)
(-94.285714	0.069667	1.304929)
(-90.000000	0.000000	1.300000)
(-85.714286	-0.069667	1.304929)
(-81.428571	-0.141546	1.295432)
(-77.142857	-0.214221	1.271924)
(-72.857143	-0.286393	1.235131)
(-68.571429	-0.356920	1.186072)
(-64.285714	-0.424867	1.126036)
(-60.000000	-0.489554	1.056552)
(-55.714286	-0.550622	0.979351)
(-51.428571	-0.608104	0.896332)
(-47.142857	-0.662540	0.809513)
(-42.857143	-0.715126	0.720989)
(-38.571429	-0.767968	0.632881)
(-34.285714	-0.824514	0.547291)
(-30.000000	-0.890340	0.466252)
(-28.214286	-0.857426	0.435553)
(-26.428571	-0.824511	0.404854)
(-24.642857	-0.791596	0.374155)
(-22.857143	-0.758682	0.343456)
(-21.071429	-0.725767	0.312757)
(-19.285714	-0.692852	0.282058)
(-17.500000	-0.659938	0.251359)
(-15.714286	-0.627023	0.220660)
(-13.928571	-0.594108	0.189961)
(-12.142857	-0.561194	0.159262)
(-10.357143	-0.528279	0.128563)
(-8.571429	-0.495364	0.097864)
(-5.000000	-0.429535	0.036466)
(-4.750000	-0.406422	0.038378)
(-4.500000	-0.382281	0.040109)
(-4.250000	-0.359350	0.041443)
(-4.000000	-0.341678	0.042162)
(-3.750000	-0.323281	0.043047)
(-3.500000	-0.306396	0.043483)
(-3.250000	-0.291143	0.043483)
(-3.000000	-0.272202	0.043893)
(-2.750000	-0.251326	0.043983)
(-2.500000	-0.236496	0.043791)
(-2.250000	-0.223601	0.043880)
(-2.000000	-0.209315	0.043906)
(-1.750000	-0.191885	0.043855)
(-1.500000	-0.172461	0.043739)
(-1.250000	-0.160956	0.043726)
(-1.000000	-0.145522	0.043855)
(-0.750000	-0.123739	0.043957)
(-0.500000	-0.111146	0.044175)
(-0.250000	-0.096074	0.044432)
(0.000000	-0.074171	0.044650)
(0.250000	-0.061517	0.045060)
(0.500000	-0.045357	0.045471)
(0.750000	-0.022668	0.045830)
(1.000000	-0.011949	0.046446)
(1.250000	0.006388	0.046985)
(1.500000	0.024482	0.047575)
(1.750000	0.038163	0.048331)
(2.000000	0.058676	0.048960)
(2.250000	0.071692	0.049768)
(2.500000	0.087248	0.050576)
(2.750000	0.108547	0.051307)
(3.000000	0.119386	0.052308)
(3.250000	0.136332	0.053206)
(3.500000	0.156241	0.054039)
(3.750000	0.178084	0.054886)
(4.000000	0.194970	0.056207)
(4.250000	0.226728	0.057375)
(4.500000	0.254194	0.059222)
(4.750000	0.282386	0.060979)
(5.000000	0.299150	0.062223)
(5.250000	0.323412	0.063506)
(5.500000	0.348036	0.064917)
(5.750000	0.367522	0.066802)
(6.000000	0.396983	0.067983)
(6.250000	0.416166	0.069971)
(6.500000	0.443874	0.071215)
(6.750000	0.463661	0.073126)
(7.000000	0.493062	0.073998)
(7.250000	0.510431	0.076064)
(7.500000	0.539530	0.076654)
(7.750000	0.558592	0.078360)
(8.000000	0.578016	0.079937)
(8.250000	0.608989	0.079630)
(8.500000	0.625875	0.081336)
(8.750000	0.645299	0.082503)
(9.000000	0.679718	0.080643)
