// Re = 0.02
(-180.000000	-0.000000	4.008781)
(-177.928571	-0.940434	4.012150)
(-175.857143	-1.880868	4.022228)
(-173.785714	-2.821302	4.038932)
(-171.714286	-3.761736	4.062123)
(-169.642857	-4.702170	4.091610)
(-167.571429	-5.642603	4.127144)
(-165.500000	-6.583037	4.168429)
(-163.428571	-7.523471	4.215117)
(-161.357143	-8.463905	4.266811)
(-159.285714	-9.404339	4.323070)
(-157.214286	-10.344773	4.383408)
(-155.142857	-11.285207	4.447300)
(-153.071429	-12.225641	4.514182)
(-151.000000	-13.166075	4.583456)
(-146.642857	-10.207676	4.734142)
(-142.285714	-7.865626	4.886390)
(-137.928571	-5.975171	5.033619)
(-133.571429	-4.434638	5.169047)
(-129.214286	-3.177940	5.285866)
(-124.857143	-2.160131	5.377422)
(-120.500000	-1.349328	5.437390)
(-116.142857	-0.721970	5.459946)
(-111.785714	-0.259945	5.439925)
(-107.428571	0.051200	5.372970)
(-103.071429	0.223385	5.255657)
(-98.714286	0.266689	5.085605)
(-94.357143	0.189756	4.861561)
(-90.000000	0.000000	4.583456)
(-85.642857	-0.189756	4.861561)
(-81.285714	-0.266689	5.085605)
(-76.928571	-0.223385	5.255657)
(-72.571429	-0.051200	5.372970)
(-68.214286	0.259945	5.439925)
(-63.857143	0.721970	5.459946)
(-59.500000	1.349328	5.437390)
(-55.142857	2.160131	5.377422)
(-50.785714	3.177940	5.285866)
(-46.428571	4.434638	5.169047)
(-42.071429	5.975171	5.033619)
(-37.714286	7.865626	4.886390)
(-33.357143	10.207676	4.734142)
(-29.000000	13.166075	4.583456)
(-27.285714	12.186289	4.266564)
(-25.571429	11.206503	3.949673)
(-23.857143	10.226716	3.632781)
(-22.142857	9.246930	3.315889)
(-20.428571	8.267144	2.998997)
(-18.714286	7.287358	2.682106)
(-17.000000	6.307572	2.365214)
(-15.285714	5.327786	2.048322)
(-13.571429	4.348000	1.731431)
(-11.857143	3.368214	1.414539)
(-10.142857	2.388428	1.097647)
(-8.428571	1.408642	0.780755)
(-5.000000	-0.550930	0.146972)
(-4.750000	-0.484483	0.141881)
