time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
0.00625,5,-5.4888207535,1.33189814305,1.91753476541,21.1208347352,21.1208347352,0.648520698899,0.21645142607,1e-300
0.0135416666667,5,-5.47579520488,1.33120308091,1.91716731772,21.0847206755,21.1208347352,0.897317725229,0.216039323916,1e-300
0.02265625,5,-5.45956813479,1.32961586307,1.9168691488,21.0255859113,21.1208347352,0.898166199756,0.215380985369,1e-300
0.036328125,5,-5.43542243374,1.32574697366,1.91660130351,20.9567125043,21.1208347352,0.898994025861,0.214644608608,1e-300
0.05,5,-5.41162689433,1.32011177284,1.9161341018,20.856554985,21.1208347352,0.900441148432,0.213569189609,1e-300
0.0666666666667,5,-5.38327967655,1.31089824542,1.91562987524,20.7712845686,21.1208347352,0.901820571884,0.21261958841,1e-300
0.0833333333333,5,-5.35587278656,1.29918004489,1.91502930851,20.6778880628,21.1208347352,0.903222360129,0.211574456076,1e-300
0.1,5,-5.32962702102,1.28505157594,1.91462397989,20.5994070138,21.1208347352,0.904237349158,0.21071249057,1e-300
0.116666666667,5,-5.30475382232,1.26862666103,1.91446707972,20.5330544133,21.1208347352,0.905021107092,0.20997366075,1e-300
0.133333333333,5,-5.2814535751,1.25003762333,1.9144325781,20.4813468817,21.1208347352,0.905578652401,0.20936895691,1e-300
0.15,5,-5.25991399191,1.22943422071,1.91416154778,20.4399633458,21.1208347352,0.905999858344,0.208853711205,1e-300
0.166666666667,5,-5.24030860096,1.2069824393,1.9140475139,20.4047404303,21.1208347352,0.906273320217,0.208418139092,1e-300
0.183333333333,5,-5.22279534812,1.18286315618,1.91405441521,20.3760718191,21.1208347352,0.906437074463,0.208045163633,1e-300
0.2,5,-5.20751532448,1.15727068227,1.91412234682,20.3467179555,21.1208347352,0.906560337193,0.207669371874,1e-300
0.216666666667,5,-5.1945916297,1.13041119686,1.91421036599,20.3157239625,21.1208347352,0.90670518565,0.207264790498,1e-300
0.233333333333,5,-5.18412838026,1.1025010866,1.91426941263,20.2808076242,21.1208347352,0.906888006937,0.206816190882,1e-300
0.25,5,-5.17620987067,1.07376520226,1.91457002916,20.2395317869,21.1208347352,0.907233272406,0.206298326842,1e-300
0.266666666667,5,-5.17089989442,1.0444350472,1.91515437449,20.1907760793,21.1208347352,0.907751910531,0.20571608048,1e-300
0.283333333333,5,-5.16824122998,1.01474691242,1.91551364418,20.1408706631,21.1208347352,0.908350676384,0.205144233966,1e-300
0.3,5,-5.1682552962,0.984939972873,1.91580678908,20.0805406447,21.1208347352,0.908842113103,0.204493231817,1e-300
0.325,5,-5.17328162662,0.940531879046,1.91660020438,20.0377671424,21.1208347352,0.908302089453,0.204013154244,1e-300
0.35,5,-5.18422526374,0.897200832424,1.91645137364,19.9240154213,21.1208347352,0.907741162718,0.203049395799,1e-300
0.375,5,-5.20088800366,0.855731616213,1.91597425932,19.8065089303,21.1208347352,0.907528584106,0.202094167121,1e-300
0.4,5,-5.22296806188,0.816875293382,1.91521901364,19.6953195942,21.1208347352,0.906912032325,0.201238959109,1e-300
0.425,5,-5.250065539,0.781335603903,1.91415915622,19.6024196889,21.1208347352,0.906135537369,0.200613220363,1e-300
0.45,5,-5.28168966349,0.749756219087,1.91269425592,19.5265167802,21.1208347352,0.905371338074,0.20014244886,1e-300
0.475,5,-5.31726768014,0.722709083826,1.91134626285,19.4700956278,21.1208347352,0.904840113908,0.19976764766,1e-300
0.5,5,-5.3561552235,0.700684057914,1.91015993874,19.4289071612,21.1208347352,0.904207777115,0.19949271471,1e-300
0.525,5,-5.39764798814,0.684080044027,1.909071119,19.3936918108,21.1208347352,0.90388799554,0.199187681986,1e-300
0.55,5,-5.44099448461,0.673197763064,1.9083054563,19.3617686403,21.1208347352,0.903548252047,0.198905859427,1e-300
0.575,5,-5.48540964987,0.668234307686,1.90785401475,19.3355382156,21.1208347352,0.903246537101,0.198690322597,1e-300
0.6,5,-5.53008906589,0.66927957271,1.90744595551,19.3012939357,21.1208347352,0.902670436894,0.198431816457,1e-300
0.625,5,-5.57422352869,0.676314626987,1.90727909817,19.2651929262,21.1208347352,0.902201920494,0.19816374796,1e-300
0.65,5,-5.61701370411,0.689212056275,1.90712302999,19.230261981,21.1208347352,0.901259050877,0.197934337605,1e-300
0.675,5,-5.65768460485,0.707738270882,1.90694190728,19.1901277416,21.1208347352,0.90043829157,0.197685535588,1e-300
0.7,5,-5.6954996265,0.731557736282,1.90679846101,19.1437505699,21.1208347352,0.89862122767,0.197559790204,1e-300
0.725,5,-5.72977388846,0.760239050101,1.90665843087,19.1152367705,21.1208347352,0.897174186254,0.197550207105,1e-300
0.75,5,-5.75988663798,0.793262755386,1.90640274658,19.0772536364,21.1208347352,0.895311495051,0.197497621189,1e-300
0.775,5,-5.78529249292,0.830030748667,1.90619795361,19.0539473126,21.1208347352,0.894453831014,0.197494180739,1e-300
0.8,5,-5.80553131924,0.869877112412,1.905852584,19.0322576377,21.1208347352,0.89401369534,0.197456428925,1e-300
0.825,5,-5.82023656475,0.912080175681,1.9052603641,19.0100374214,21.1208347352,0.894727797026,0.197132039905,1e-300
0.85,5,-5.82914189778,0.955875584555,1.90419244234,18.9603006258,21.1208347352,0.891776232907,0.197043513056,1e-300
0.875,5,-5.83208603084,1.00047014561,1.90279545816,18.8522317529,21.1208347352,0.885401359511,0.197136525266,1e-300
0.9,5,-5.82901564173,1.04505619169,1.90188024763,18.7422031379,21.1208347352,0.877183676731,0.197650556951,1e-300
